Job Role,Skills,Qualification,Description
Software Developer,Python Java SQL,B.Tech CSE,Develops software applications and systems
Data Scientist,Python Machine Learning Statistics,B.Tech/M.Tech,Analyzes data and builds predictive models
Web Developer,HTML CSS JavaScript,B.Tech/Degree,Designs and develops websites
UI UX Designer,Figma Adobe XD Creativity,Any Degree,Creates user-friendly interface designs
Cyber Security Analyst,Networking Linux Security,B.Tech IT,Protects systems from cyber threats
Cloud Engineer,AWS Azure Docker,B.Tech CSE,Manages cloud infrastructure
AI Engineer,Python Deep Learning NLP,B.Tech/M.Tech,Builds AI and machine learning solutions
Database Administrator,SQL Oracle MySQL,B.Tech/Degree,Manages and maintains databases
DevOps Engineer,Docker Kubernetes CI/CD,B.Tech CSE,Automates software deployment processes
Mobile App Developer,Flutter Android Java,B.Tech/Degree,Develops mobile applications
